treatment_type,avg_revenue,treatment_count,cluster,High_Value_Treatment
Congress,4952.05,2,0,0
Democrat,5424.776666666667,3,0,0
I,3489.86,1,2,0
Mrs,5359.88,1,2,0
PM,7230.674999999999,2,1,1
a,7530.385,4,0,0
ability,6424.89,3,0,0
able,7434.593333333333,3,0,0
above,7257.38,1,1,1
accept,4443.99,1,2,0
according,5531.360000000001,1,1,1
account,4589.03,1,2,0
across,5435.43,2,0,0
activity,5977.67,2,0,0
add,5755.033333333333,3,0,0
address,5909.42,2,0,0
admit,4620.51,2,0,0
after,3645.335,2,2,0
again,6143.08,1,1,1
age,4387.596666666667,3,0,0
ago,5799.31,1,1,1
agree,5092.83,2,0,0
ahead,5066.03,1,2,0
air,4149.06,1,2,0
all,4514.22,1,2,0
almost,3089.32,1,2,0
alone,5430.61,3,0,0
along,7114.85,2,1,1
also,2921.8650000000002,2,2,0
among,7096.96,1,1,1
amount,8359.29,1,1,1
analysis,4899.3150000000005,2,0,0
animal,8400.57,1,1,1
another,5338.66,3,0,0
anyone,4176.1,1,2,0
anything,2885.0,1,2,0
apply,6812.7,1,1,1
argue,5006.55,1,2,0
arm,5593.155,2,0,0
around,6334.78,1,1,1
arrive,4977.455,2,0,0
art,6381.636666666666,3,0,0
artist,5507.08,1,1,1
as,3356.7650000000003,2,2,0
ask,7140.9,2,1,1
assume,6216.0,3,0,0
attack,7426.6,1,1,1
attorney,6149.85,1,1,1
audience,4567.24,1,2,0
author,4182.85,1,2,0
available,4133.89,1,2,0
away,3070.6766666666663,3,0,0
back,6528.6900000000005,1,1,1
bad,6580.425,2,1,1
bag,5780.706666666668,3,0,0
ball,7834.040000000001,1,1,1
bank,6857.655000000001,2,1,1
be,5903.6,1,1,1
beat,4867.29,2,0,0
because,6418.43,2,0,0
become,7553.635,2,1,1
begin,9590.65,1,1,1
behavior,7744.629999999999,1,1,1
behind,4705.7,1,2,0
best,6479.005,2,0,0
between,6606.84,1,1,1
beyond,3132.29,1,2,0
billion,4905.336666666667,3,0,0
black,5376.98,1,2,0
blood,6178.9,2,0,0
board,2897.75,2,2,0
body,7821.380000000001,1,1,1
book,4887.839999999999,1,2,0
born,6233.4225,4,0,0
both,6278.1,4,0,0
box,4447.58,3,0,0
boy,7357.530000000001,1,1,1
break,9007.93,1,1,1
brother,4572.75,1,2,0
budget,4414.36,3,0,0
building,5857.31,1,1,1
business,6343.9400000000005,1,1,1
but,4976.87,2,0,0
buy,3103.91,1,2,0
by,4347.0,1,2,0
camera,1595.84,1,2,0
campaign,4964.6466666666665,3,0,0
can,4802.39,1,2,0
candidate,5534.860000000001,1,1,1
car,2382.55,1,2,0
care,4638.45,1,2,0
career,7618.71,1,1,1
carry,6016.323333333334,3,0,0
case,6051.29,5,0,0
catch,9734.01,1,1,1
cause,4135.996666666667,3,0,0
cell,6197.977500000001,4,0,0
center,5738.82,1,1,1
century,2566.67,1,2,0
certainly,6908.285,2,1,1
chair,6230.320000000001,1,1,1
challenge,5231.623333333334,3,0,0
change,4270.043333333334,3,0,0
character,5142.22,1,2,0
charge,6745.39,1,1,1
check,4105.6849999999995,2,0,0
choice,4415.72,1,2,0
choose,6586.540000000001,1,1,1
citizen,5637.45,1,1,1
claim,4498.57,2,0,0
class,4897.63,1,2,0
clear,6325.205,2,0,0
clearly,6134.41,2,0,0
close,9286.58,1,1,1
coach,5261.805,2,0,0
cold,5347.780000000001,1,2,0
college,6323.53,1,1,1
color,5284.58,2,0,0
common,4054.45,1,2,0
computer,2570.51,1,2,0
concern,3543.8,1,2,0
condition,6780.099999999999,1,1,1
conference,7041.2,2,1,1
consider,4722.57,1,2,0
consumer,7201.709999999999,1,1,1
continue,6930.805,2,1,1
control,2909.48,1,2,0
cost,5449.416666666667,3,0,0
country,5321.860000000001,1,2,0
course,4052.8125,4,0,0
court,3727.39,1,2,0
cover,3433.065,2,2,0
create,5621.905,2,0,0
crime,4407.24,1,2,0
culture,6525.620000000001,2,0,0
cup,6836.2,1,1,1
customer,5620.11,2,0,0
cut,7592.82,1,1,1
deal,2030.29,1,2,0
debate,8060.03,1,1,1
decade,6190.915,2,0,0
decide,7127.705,2,1,1
defense,4738.173333333333,3,0,0
despite,2866.1800000000003,1,2,0
detail,4160.775,2,0,0
determine,5249.205,2,0,0
develop,5436.35,1,2,0
development,7611.68,1,1,1
difficult,3158.03,1,2,0
dinner,5423.115,2,0,0
direction,5957.66,1,1,1
director,4792.3,1,2,0
discover,7217.645,2,1,1
discuss,5162.08,1,2,0
discussion,7637.280000000001,1,1,1
door,4134.17,1,2,0
down,5846.42,1,1,1
dream,3013.1000000000004,1,2,0
drop,2357.52,1,2,0
during,3618.3100000000004,2,2,0
each,5271.985,2,0,0
early,7117.25,1,1,1
easy,2630.5200000000004,1,2,0
eat,4061.7999999999997,2,0,0
economic,5164.085,2,0,0
economy,7714.66,1,1,1
edge,1643.55,1,2,0
education,5630.77,1,1,1
effect,6712.955,2,1,1
effort,5678.62,2,0,0
either,4327.33,1,2,0
else,5872.009999999999,3,0,0
employee,6068.014999999999,2,0,0
end,3572.99,1,2,0
enter,7469.885,2,1,1
environment,6092.99,1,1,1
establish,5332.295,2,0,0
ever,4028.05,4,0,0
every,6896.4400000000005,2,1,1
everybody,3194.943333333333,3,0,0
